createddate,approval_type,rate
2021-02-02,Approval,0.53799336
2021-02-02,Disapproval,0.39421348
2021-02-22,Approval,0.5481500100000001
2021-02-22,Disapproval,0.39749653
2021-02-22,Approval,0.5088824000000001
2021-02-22,Disapproval,0.41158535999999996
2021-02-22,Approval,0.52552327
2021-02-22,Disapproval,0.42745196999999996
2021-02-22,Approval,0.56182703
2021-02-22,Disapproval,0.35887242999999996
2021-02-22,Approval,0.5470059899999999
2021-02-22,Disapproval,0.39048882
2021-02-22,Approval,0.55997248
2021-02-22,Disapproval,0.35221849
2021-02-22,Approval,0.51134218
2021-02-22,Disapproval,0.41565131
2021-02-22,Approval,0.52799336
2021-02-22,Disapproval,0.43421348000000004
2021-02-22,Approval,0.5729753
2021-02-22,Disapproval,0.36200617
2021-02-23,Approval,0.52552327
2021-02-23,Disapproval,0.41745196999999995
2021-02-23,Approval,0.52485593
2021-02-23,Disapproval,0.36587670000000005
2021-02-23,Approval,0.52266469
2021-02-23,Disapproval,0.35489514
2021-02-23,Approval,0.52799336
2021-02-23,Disapproval,0.42421348000000003
2021-02-23,Approval,0.52413204
2021-02-23,Disapproval,0.39128004
2021-02-24,Approval,0.58921791
2021-02-24,Disapproval,0.34141931
2021-02-24,Approval,0.55072331
2021-02-24,Disapproval,0.3650529
2021-02-24,Approval,0.54072331
2021-02-24,Disapproval,0.38505290000000003
2021-02-24,Approval,0.56659613
2021-02-24,Disapproval,0.39463042000000004
2021-02-24,Approval,0.51485593
2021-02-24,Disapproval,0.3858767
2021-02-24,Approval,0.51552327
2021-02-24,Disapproval,0.42745196999999996
2021-02-24,Approval,0.58960099
2021-02-24,Disapproval,0.3364631
2021-02-24,Approval,0.51266469
2021-02-24,Disapproval,0.37489514
2021-02-24,Approval,0.55241303
2021-02-24,Disapproval,0.36923920000000005
2021-02-24,Approval,0.5424130300000001
2021-02-24,Disapproval,0.3892392
2021-02-24,Approval,0.55606598
2021-02-24,Disapproval,0.37669508
2021-02-24,Approval,0.51799336
2021-02-24,Disapproval,0.43421348000000004
2021-02-25,Approval,0.54659613
2021-02-25,Disapproval,0.37963042
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
